age, how old are you
name, what is your name
name, what can i call you
name, tell me your name ?
name, what do people call you
name, what do pple call you?
name, tell me what i can call you ?
name, tell me what i call you?
greeting, how far you
greeting, yo whats up with you
greeting, hello aipa
greeting, whats up and how are you today ?
greeting, whats up dude
greeting, whats up aipa
greeting, hey you there ?
greeting, hey you up ?
name, what name are you answered ?
name, what is the name ?
name, name please ?
name, your name is needed now
name, so whats the name ?
age, so whats the age ?
age, so what is your age cutie ?
age, tell me your age, and i wont tell anyone i promise
age, tell me the name and your age ok ..
greeting, hello dude whats up with you
greeting, whats up with you aipa
greeting, are you there ?
greeting, hello aipa are you awake or sleeping ?
age, age please.
name, name?
name, tell me you name Aipa ?
name, tell me your name this nigga
name, what can i call you as a pal
age, tell me your age
age, how old can you be
age, how old is apia
age, so how old is you ?
age, what is your age ?
age, or better still, how old are you ?
age, age
task, how can you help me
task, i need your help
task, what can you do?
task, can you do
task, what are you good at
task, so wht are you good at ?
task, tell me the task you do
task, tell me yur task
task, tell me about what yoou can do
task, what can you reali do
task, tell me what you are good at?
greeting, whats happening with you aipa whats up ?
task, tell me your offers.
task, tell me how you can help.
task, what can you do
task, what can you offer me ?
task, like i mean what is your skills ?
task, so if you were asked what can you do?
task, so tell me what you are really good at ?
name, what can i know you with ?
task, what do you do
age, how old ?
age, tell me the age okay
greeting, sup aipa
task, what kind of services do you offer
task, what can you really do?
task, tell me what you can do ?
age, how old are you?
age, tell me your age ?
age, how old really ?
age, whats the age apia ?
greeting, hello hi
greeting, hi
age, in plain words how old are yoou
age, tell me your age
age, age matters you know.
name, what is really your name
name, tell me your name ?
name, what is your name
name, tell me the name?
name, name please ?
name, just your name is all that is needed ?
name, what is your name ?
name, so what is the name ?
greeting, hello
greeting, hello AIPA
greeting, hello dude
greeting, hi AIPA
greeting, whats up
name, the name
name, so your name please?
bio_question, wow cool  and how is your family ?
name, tell me your name
name, what is your name ogaaa
name, name or ill exit
name, so you said your name was what again ?
name, what was that your name ?
task, what can you do
task, so if you were asked what can you do?
task, tell me what you can do
task, tell me waht you are good at  ?
task, so tell me what you can do
task, what can you do today
task, tell me what you are good at ?
task, tell me what you can do
name, so wath is your name?
name, can i know your name please?
name, tell me your name okay
name, so what is the name ?
name,  i wanna know your name and what is means?
name, what is your name
name, full name please
name, tell me the name okay.
task, what can you do
task, haaa, what can you do ?
task, tell me what you can do
task, what are you good at ?
task, what is your talent
task, what is your talent
task, what is your talent and what can you do
task, what do you do
task, what do you do
task, what do you really do here
task, what do you do tell me
task, waht can you really do just narrate
good_reply, ok thanks
bio_question, how are you holding up
bio_question, how is your family ?
good_reply, sure sure
good_reply, fine fine you ?
bio_question, how you doing today ?
good_reply, thanks alot
bio_question, how are things for you and your family ?
bio_question, how is life ?
bio_question, how is your health
bio_question, how are things generally ?
bio_question, how is your mum
bio_question, how is your wife and mum
bio_question, how is your family or your home ?
good_reply, ok sure and thanks alot okay
good_reply, Perfect..
bio_question, how is your home ?
bio_question, how is home ?
bio_question, how is your house doing ?
bio_question, how is your health ?
bio_question, sure you fine i guess ?
bio_question, how are things moving for you ?
bio_question, hope youre fine and okay
bio_question, sure and i know you are fine and in good health..
good_reply, ok perfect
good_reply, thank you
greeting, hello bot
greeting, hello hello hi
bio_question, how is the health...
greeting, hi hi hi hi hi hello hello hello
greeting, hi and hello
greeting, whats up
greeting, what up you ?
greeting, how are you doing today hi helllo hi
good_reply, ok great
good_reply, yeah thanks
good_reply, yeah
good_reply, sure
good_reply, thanks ok
good_reply, yh
good_reply, yes i know
good_reply, oh sure
good_reply, thanks for everything
good_reply, i am fine thanks
good_reply, fine
bio_question, how are you
bio_question, how are u
bio_question, how are you
good_reply, i am cool
good_reply, i am great i guess
good_reply, thanks for everything
greeting, how far
greeting, goodmorning
greeting, goodevening
good_reply, ok thanks
good_reply, thanks
good_reply, ok
good_reply, thank you
good_reply, thanks bro
good_reply, thank you aipa
good_reply, thank you very much
good_reply, ok nice
good_reply, ok fine and thanks
bio_question, how are you
bio_question, how are you doing
bio_question, how are you holding up ?
bio_question, how far you
bio_question, how are you doing
bio_question, how was your day?
good_reply, great
good_reply, ok thanks
good_reply, ok am so loving this
bio_question, how was your weekend
bio_question, how is your day going
bio_question, how is your day going apia
good_reply, nice
good_reply, nice one
good_reply, i am fine thank you
good_reply, i am fine
bio_question, how is apia today ?
bio_question, how is you today ?
bio_question, how are you doing aipa ?
bio_question, how are things for yhou ?
good_reply, i am ok thanks
good_reply, i am okay.
task, what can you do for me ?
bio_question, how are you
bio_question, how are you today
bio_question, how are you doing today
bio_question, how are you faring today?
bio_question, how is yor family
bio_question, how is your lover
bio_question, sure you are good?
age, "what is is age, or better still, how old are you"
greeting, how is everything going
